sheet_id,question_en,question_fr,file_name,survey_date,question_clean
admc19,"Administration of COVID-19 questions: CAPI RANDOMISATION: automated random allocation to Group 1 or Group 2, each comprising approximately half of the sample. K3 should be programmed automatically in the CAPI script and NOT displayed/asked in the interview.RECORD OUTCOME OF CAPI RANDOMISATION",,ESS10e03_3,2020-06-01,What group were you randomly assigned to for COVID-19 questions (Group 1 or Group 2)?
admrclc,"Administration of reduce climate change: RECORD OUTCOME OF CAPI RANDOMISATION IF NOT CODE 55 AT C30 (IF C30 = 01, 02, 03, 04, 05, 77, 88)RECORD OUTCOME OF CAPI RANDOMISATION",,ESS11e04_1,2023-06-01,"Do you support the administration's efforts to reduce climate change? (Only record outcome if not code 55 at C30, and C30 is not 05 or 77/88.)"
allbpe,"Allow unskilled labourers from [poor European country providing largest number of migrants]: ASK IF D29 = 3 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow unskilled labourers from [poor European country providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01,To what extent do you think [country] should allow unskilled laborers from the largest-providing poor European country to enter and reside?
allbpne,"Allow unskilled labourers from [poor non-European country providing largest number of migrants]: ASK IF D29 = 4 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow unskilled labourers from [poor country outside Europe providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01,"Should [country] allow unskilled laborers from the specified poor non-European country to live there? (Using the provided card, indicate your opinion on a scale.)"
alpfpe,"Allow professionals from [poor European country providing largest number of migrants]: ASK IF D29 = 1 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow professionals from [poor European country providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01,To what extent do you think [country] should allow professionals from the largest migrant-sending poor European country to live there?
alpfpne,"Allow professionals from [poor non-European country providing largest number of migrants]: ASK IF D29 = 2 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow professionals from [poor country outside Europe providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01,To what extent do you think [country] should allow professionals from the largest-migrating poor non-European country to live there?
banhhap,Favour ban sale of least energy efficient household appliances to reduce climate change: ASK ALL CARD 44To what extent are you in favour or against the following policies in [country] to reduce climate change? A law banning the sale of the least energy efficient household appliances.READ OUT EACH STATEMENT AND CODE IN GRID,,ESS8e02_3,2016-06-01,Are you in favor of banning the sale of least energy-efficient household appliances to help reduce climate change in [country]?
bghtprd,"Bought product for political/ethical/environment reason last 12 months: ASK ALLThere are different ways of trying to improve things in [country] or help prevent things from going wrong. During the last 12 months, have you done any of the following? Firstly ...Deliberately bought certain products for political, ethical or environmental reasonsREAD OUT",,ESS1e06_7,2002-06-01,"Have you purchased a product for political, ethical, or environmental reasons within the last 12 months?"
btminfr,"Bottom 10% full-time employees in country, earning less than [amount], how fair: STILL CARD 65And now please think about the bottom 10% of employees working full-time in [country], earning less than [amount per month or per year]. In your opinion, are these incomes unfairly low, fair, or unfairly high? Please think generally about people earning this level of incomes.INTERVEIWER: If the respondent needs additional instructions on how to use the scale, please say: If you think these incomes are unfairly low, please choose a number from the left-hand side. If you think these incomes are fair, please choose 0. If you think these incomes are unfairly high, please choose a number from the right-hand side.",,ESS9e03_3,2018-06-01,"How fair are the incomes for the bottom 10% full-time employees in [country], earning less than [amount]? (Unfairly low, Fair, Unfairly high)"
c19spwrk,"Speak with people you work with in person, how often compared with before COVID-19: ASK IF RESPONDENT DID NOT REPORT HAVING NO LINE MANAGER AT G44 AND NO COLLEAGUES AT G53 (IF G44 = 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 77, 88 OR IF G53 = 01, 02, 03, 04, 05, 06, 07, 77, 88) 
For the next few questions, please think about all the people you work with, regardless of whether they are your line manager or your colleagues.Now think about occasions where you and {him/her} are physically in the same location. Compared with before the coronavirus pandemic, would you say that you speak with {him/her} in person...READ OUT...",,ESS10e03_3,2020-06-01,How often do you interact in person with your coworkers compared to before COVID-19 (excluding situations where you have no line manager at G44 or no colleagues at G53)?
