sheet_id,question_en,question_fr,file_name,survey_date
ablrtr,"Worried not being able to retire at the age you would like to: ASK IF INTERVIEWER CODE F8d = 2 (RESPONDENT NOT RETIRED OR PERMANENTLY SICK OR DISABLED) CARD 50Using this card, can you tell me how worried, if at all, you are that you will not be able to retire at the age you would like to?",,ESS3e03_7,2006-06-01
absddng,"Absorbed in doing, how often past week: And please tell me how much of the time during the past week... ...you were absorbed in what you were doing?",,ESS3e03_7,2006-06-01
accalaw,Acceptable for country to have a strong leader above the law: CARD 16How acceptable for you would it be for [country] to have a strong leader who is above the law?Choose your answer from this card where 0 is not at all acceptable and 10 is completely acceptable.,,ESS10e03_3,2020-06-01
accdk,"Location able to access the internet: Don't know: ASK ALL
CARD 60Imagine you wanted to access the Internet. At which of these locations would you be able to do it?Select all that apply.
PROMPT At which others?
CODE ALL THAT APPLY",,ESS10e03_3,2020-06-01
accdng,"Feel accomplishment from what I do: CARD 26Using this card, please tell me to what extent you agree or disagree with each of the following statements. Most days I feel a sense of accomplishment from what I do.READ OUT EACH STATEMENT AND CODE IN GRID",,ESS6e02_7,2012-06-01
acchome,"Location able to access the internet: Home: ASK ALL
CARD 60Imagine you wanted to access the Internet. At which of these locations would you be able to do it?Select all that apply.
PROMPT At which others?
CODE ALL THAT APPLY",,ESS10e03_3,2020-06-01
accmove,"Location able to access the internet: On the move: ASK ALL
CARD 60Imagine you wanted to access the Internet. At which of these locations would you be able to do it?Select all that apply.
PROMPT At which others?
CODE ALL THAT APPLY",,ESS10e03_3,2020-06-01
accna,"Location able to access the internet: No answer: ASK ALL
CARD 60Imagine you wanted to access the Internet. At which of these locations would you be able to do it?Select all that apply.
PROMPT At which others?
CODE ALL THAT APPLY",,ESS10e03_3,2020-06-01
accnone,"Location able to access the internet: None of the above: ASK ALL
CARD 60Imagine you wanted to access the Internet. At which of these locations would you be able to do it?Select all that apply.
PROMPT At which others?
CODE ALL THAT APPLY",,ESS10e03_3,2020-06-01
accoth,"Location able to access the internet: Some other place: ASK ALL
CARD 60Imagine you wanted to access the Internet. At which of these locations would you be able to do it?Select all that apply.
PROMPT At which others?
CODE ALL THAT APPLY",,ESS10e03_3,2020-06-01
accref,"Location able to access the internet: Refusal: ASK ALL
CARD 60Imagine you wanted to access the Internet. At which of these locations would you be able to do it?Select all that apply.
PROMPT At which others?
CODE ALL THAT APPLY",,ESS10e03_3,2020-06-01
accwrk,"Location able to access the internet: Workplace: ASK ALL
CARD 60Imagine you wanted to access the Internet. At which of these locations would you be able to do it?Select all that apply.
PROMPT At which others?
CODE ALL THAT APPLY",,ESS10e03_3,2020-06-01
acetalv,"People of minority race/ethnic group in current living area: CARD 32And now using this card, how would you describe the area where you currently live?",,ESS7e02_3,2014-06-01
acldnmr,"Approve if person have child with partner not married to. SPLIT BALLOT: CARD 33Using this card, how much do you approve or disapprove if a woman/man... ...has a child with a partner she/he lives with but is not married to?READ OUT...",,ESS9e03_3,2018-06-01
acq30bs,How acceptable for most people if qualified 30 year old appointed as their boss: CARD 53Please tell me how acceptable or unacceptable you think most people in [country] would find it if a suitably qualified 30 year old was appointed as their boss? Use this card where 0 means most people would find it completely unacceptable and 10 means completely acceptable.,,ESS4e04_6,2008-06-01
acq70bs,How acceptable for most people if qualified 70 year old appointed as their boss: STILL CARD 53And please tell me how acceptable or unacceptable you think most people in [country] would find it if a suitably qualified 70 year old was appointed as their boss? Use this card where 0 means most people would find it completely unacceptable and 10 means completely acceptable.,,ESS4e04_6,2008-06-01
