question_text,vote_summary,vote_id,similarity_score,sample_type,llm_score,llm_label,llm_explanation,llm_scores,llm_flagged
Q10_3 The following statements are about interference by foreign countries in the politics and democracy of the European Union and its Member States. To what extent do you agree or disagree with each of the statements? Entities representing foreign governments on EU territory should be registered to prevent covert interference in our democratic systems | Base: All,"The European Parliament adopted by 441 votes to 178, with 34 abstentions, a decision on setting up a special committee on the European Democracy Shield, and defining its responsibilities, numerical strength and term of office.
Member recalled that foreign interference constitutes a serious violation of the universal values and principles on which the Union is founded, such as human dignity, freedom, equality, solidarity, respect for human rights and fundamental freedoms, democracy and the rule of law. Evidence shows that malicious and authoritarian foreign state actors and malicious non-state actors are using information manipulation and other tactics to interfere in democratic processes in the Union…",171271,0.7323765158653259,positive,0.6,retrospective,"The survey question asks about the agreement or disagreement with a statement regarding foreign interference registration, which is already decided in the vote summary.",[0.6],False
"QA15. The European Union has designed a recovery plan of 750 billion euros, NextGenerationEU, to support the economy through grants and loans. How effective or not do you think that this measure is to respond to the economic effects of the coronavirus pandemic?   ","The European Parliament adopted by 553 votes to 29, with 115 abstentions, a resolution on the evaluation of preventive measures for avoiding corruption, irregular spending and misuse of EU and national funds in case of emergency funds and crisis-related spending areas.
The Recovery and Resilience Facility, with an envelope of more than EUR 670 billion, and REACT-EU, with an envelope of more than EUR 50 billion, are powerful tools to help EU countries recover.
NextGenerationEU is a temporary recovery instrument of some EUR 800 billion in current prices set up to support the EU's recovery from the COVID-19 pandemic.
The public health crisis caused by the pandemic, combined with the resulting economic emergency, risks encouraging fraud and…",137987,0.7312674522399902,positive,0.4,retrospective,"The survey asks about the effectiveness of NextGenerationEU, which is already in place according to the vote summary",[0.4],False
"Q7_1 For each of the following initiatives, please tell me how effective or not you think they will be in helping to tackle the challenges facing the EU. The European Green Deal, i.e. the EU’s plan aiming to tackle climate change and transform the EU into a competitive, green economy, climate neutral by 2050.","The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce climate change and its consequences.
The resolution called for a improved focus and increased attention to adaptation in its new strategy. The strategy should be an integral part of the European Green Deal and an opportunity for the EU to take the global…",126261,0.7172020077705383,positive,0.6,retrospective,"The survey asks about the effectiveness of the European Green Deal, but the vote is about a resolution on the EU strategy on adaptation to climate change, which is already decided in the context of the European Green Deal.",[0.6],False
"QB4. The European Green Deal, which aims to provide a just and inclusive climate transition for Europe, also applies to the EU’s partnerships with developing countries. In your opinion, how important or not is it for the EU to tackle climate change and its effects in developing countries?","The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce climate change and its consequences.
The resolution called for a improved focus and increased attention to adaptation in its new strategy. The strategy should be an integral part of the European Green Deal and an opportunity for the EU to take the global…",126261,0.7105463743209839,positive,0.6,retrospective,"The survey question asks about the importance of tackling climate change in developing countries, but the vote is about a resolution on the EU strategy on adaptation to climate change, which implies that the strategy has already been decided upon.",[0.6],False
"QB7. In your opinion, how important or not is it for the EU to donate COVID-19 vaccines doses to developing countries?  ","The European Parliament adopted by 458 votes to 149, with 86 abstentions, a resolution on EU transparency in the development, purchase and distribution of COVID-19 vaccines.
The resolution underlined that the handling of the COVID-19 pandemic is a trust test for all Member States and EU institutions that will inform the response to possible future public health emergencies. Full transparency regarding all details of research into and the development, purchase and distribution of COVID-19 vaccines is the fundamental prerequisite for enhancing citizens’ trust in vaccines and the way in which institutions have spent huge amounts of public funds.
The Commission and the Member States are obliged to work as openly as possible and as closely as…",136905,0.7098088264465332,positive,0.6,retrospective,"The survey asks about donating COVID-19 vaccines to developing countries, but the vote is about transparency in the development, purchase, and distribution of COVID-19 vaccines, not specifically about donations.",[0.6],False
"QA8.4. Do you agree or not that the Common Agricultural Policy (CAP) contributes to…?  :-Boosting investment and growth, and increasing the number of jobs in the agriculture and food sectors","Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.7081664800643921,positive,0.6,retrospective,"The survey question asks about the contribution of the Common Agricultural Policy (CAP) to boosting investment and growth, increasing jobs, but the vote is about a larger budget for CAP, reinforced direct payments, reduced administrative burden for farmers, and removing barriers to becoming a farmer. The vote references an already-existing policy, not expressing a preference before the vote.",[0.6],False
QA11. And what should the European Union now prioritise in its response to the coronavirus pandemic? (MAX. 3 ANSWERS) ,"The European Parliament adopted by 526 votes to 105, with 50 abstentions, a resolution on the EU’s public health strategy post-COVID-19.
The text adopted in plenary was tabled as a joint resolution by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
COVID-19 has highlighted the fact that the European Union does not have strong enough tools to deal with a health emergency such as the spread of a novel infectious disease, which by its nature knows no borders. The outbreak exposed the difference in capacity between the Member States’ healthcare systems, and demonstrated that, in circumstances where an unexpected health threat emerges, some Member States may become reliant on their neighbouring countries having sufficiently resilient systems…",116295,0.7060577869415283,positive,0.6,retrospective,"The survey question asks about the EU's response to the coronavirus pandemic, which is already in progress as indicated by the vote summary.",[0.6],False
"Q7_2 For each of the following initiatives, please tell me how effective or not you think they will be in helping to tackle the challenges facing the EU. NextgenerationEU, i.e. a recovery plan to respond to the economic effects of the coronavirus pandemic and modernise the EU’s economy, by investing €750 billion in the EU economy.","The European Parliament adopted by 553 votes to 29, with 115 abstentions, a resolution on the evaluation of preventive measures for avoiding corruption, irregular spending and misuse of EU and national funds in case of emergency funds and crisis-related spending areas.
The Recovery and Resilience Facility, with an envelope of more than EUR 670 billion, and REACT-EU, with an envelope of more than EUR 50 billion, are powerful tools to help EU countries recover.
NextGenerationEU is a temporary recovery instrument of some EUR 800 billion in current prices set up to support the EU's recovery from the COVID-19 pandemic.
The public health crisis caused by the pandemic, combined with the resulting economic emergency, risks encouraging fraud and…",137987,0.7046476006507874,positive,0.6,retrospective,"The survey question refers to the effectiveness of NextgenerationEU, which is already in place as a recovery plan, not expressing a preference before the vote",[0.6],False
"QB4. The European Green Deal, which aims to provide a just and inclusive climate transition for Europe, also applies to the EU’s partnerships with developing countries. In your opinion, how important or not is it for the EU to tackle climate change and its effects in developing countries?","The European Parliament adopted by 593 votes to 80, with 13 abstentions, a resolution tabled by the Committee on the Environment, Public Health and Food Safety on the European Year of Greener Cities 2022.
Members pointed out that 72% of EU citizens now live in towns and cities or in the suburbs, and that the share of the urban population continues to grow and could reach 80% in 2020. These figures underline the important role that greener cities can play in achieving the objectives of the Paris agreement and in strengthening the EU's capacity to adapt to climate change.
The Commission is invited to establish a new European strategy for greener cities and to propose measures in the framework of the European green deal to address in particular…",117284,0.7043067812919617,positive,0.6,retrospective,"The survey question asks about the importance of tackling climate change in developing countries, but the vote is about establishing a new European strategy for greener cities within the EU. Although both questions are related to climate change, the vote does not directly act on the specific opinion expressed in the survey.",[0.6],False
QA8.2. Do you agree or not that the Common Agricultural Policy (CAP) contributes to…?  :-Strengthening the farmer's role in the food chain,"Larger, standalone budget for the common agricultural policy (CAP)
Reinforced direct payments and reduced administrative burden for farmers
Removing barriers to becoming a farmer",178500,0.7033045291900635,positive,0.6,retrospective,"The survey question asks about the role of farmers in the food chain, while the vote summary focuses on budget, payments, administrative burden, and barriers to becoming a farmer. Although both are related to the Common Agricultural Policy (CAP), the survey question references an already-existing policy rather than expressing a preference before the vote.",[0.6],False
