reference,url,summary_text,simplified_summary
2019/2734(RSP),https://oeil.europarl.europa.eu/oeil/en/document-summary?id=1586806,"The European Parliament adopted by 458 votes to 80,
with 89 abstentions, a resolution on Russia, notably the situation
of environmental activists and Ukrainian political
prisoners.

The text adopted in plenary had been tabled as a joint
resolution by the EPP, S&D, Renew, Greens/EFA and ECR
groups.

Firstly, it stated that the EU does not
recognise the enforcement of Russian legislation in Crimea and
Sevastopol and expects all illegally detained Ukrainian citizens in
the Crimean peninsula and in Russia to be released
immediately.

The Russian authorities and political
leadership continue their repressive and authoritarian regime
against their own citizens, civil society, political opposition and
media workers. Russia’s slide into authoritarian rule has had
a negative impact on EU-Russia relations and on stability in Europe
and the world.

Many of the prisoners and detainees have faced
harsh and inhumane conditions in prisons, causing physical and
psychological risks to their health.

Against this background, Parliament called on
the Russian authorities to:","The European Parliament passed a resolution (458-80) urging Russia to immediately release Ukrainian citizens illegally detained in Crimea and Russia, condemning Russia's repressive regime against its own citizens, civil society, opposition, and media workers. The resolution also expressed concern over the harsh conditions faced by prisoners, posing physical and psychological risks to their health."
2019/2733(RSP),https://oeil.europarl.europa.eu/oeil/en/document-summary?id=1586798,"The European Parliament adopted by 330 votes to 252,
with 55 abstentions, the resolution on the situation at the
USA-Mexico border.

The text adopted in plenary had been tabled as a joint
resolution by the EPP, S&D, Renew, Greens/EFA and ECR
groups.

In recent years, a complex crisis of violence
and entrenched poverty has driven families, including young persons
and children, to flee Mexico and the Northern Triangle of Central
America – El Salvador, Guatemala and Honduras – and seek
safety, protection and economic stability in the USA.

There is a humanitarian emergency at the
USA-Mexico border, where migrants and asylum seekers are detained
on the US side after making the crossing. The situation faced by
children is particularly alarming and condemnable, as hundreds are
languishing in tent cities on the border or are locked behind bars
in detention facilities that do not meet minimum human rights
standards, as they are overcrowded and lack adequate healthcare
facilities, decent food and proper sanitation.

Parliament is deeply concerned about the
situation of migrants and asylum seekers at the USA-Mexico border,
especially that of migrant children and the appalling conditions in
which migrants and asylum seekers, in general, are held in US
immigration detention facilities.

The US authorities are called on to:

Parliament stressed that the army is not the
right instrument for dealing with migration issues. It considered
that the situation at the border should be handled by specialised
police who have been duly trained and instructed to respect human
rights and the dignity of migrants.

It undertakes to closely monitor EU development
aid to the region in order to ensure efficient standards of
development, since this can help tackle the root causes of forced
migration.","The European Parliament passed a resolution (330-252) concerning the humanitarian crisis at the USA-Mexico border, particularly focusing on the treatment of migrant children. The text was jointly tabled, urging US authorities to address the issue humanely and avoid using military forces for migration matters."
2019/2820(RSP),https://oeil.europarl.europa.eu/oeil/en/document-summary?id=1592280,"The European Parliament adopted by 530 votes to 14,
with 104 abstentions, a resolution on the state of implementation
of the Union’s anti-money laundering legislation.

The resolution was tabled by the EPP, S&D, Renew
and Greens/EFA groups.

According to Europol, as much as 0.7-1.28 % of the
Union’s annual GDP is ‘detected as being involved in
suspect financial activity’ such as money laundering connected
to corruption, arms trafficking, human trafficking, drug dealing,
tax evasion and fraud, terrorist financing or other illicit
activities which affect EU citizens in their daily
lives.

The Union’s framework for anti-money laundering
and countering terrorist financing (AML/CTF) has been progressively
strengthened by the adoption of 4AMLD in May 2015 and 5AMLD in
April 2018 and their respective dates of transposition into the
Member States’ national legislation by June 2017 and January
2020, and by other accompanying legislation and actions.

On 24 July 2019, the Commission adopted an AML
package, informing Parliament and the Council about achievements to
date and remaining shortcomings in the Union’s AML/CTF
framework, and thereby set the scene for further improvements in
the enforcement and implementation of the existing legislation and
for possible future legislative and institutional
reforms.

Parliament is seriously concerned about the lack of
implementation of 4AMLD by a large number of Member States and
welcomed, in this respect, the Commission’s initiation of
infringement procedures against Member States based on the findings
of its completeness checks.

It called on the Commission to complete thorough
correctness checks as soon as possible and to open infringement
procedures where necessary. Those Member States that have not yet
done so are urged to properly transpose 4AMLD into their national
legislation as soon as possible.

The resolution stressed that the current EU AML/CTF
framework suffers from shortcomings in the enforcement of EU rules
combined with a lack of efficient supervision. It highlighted that
it has been repeatedly stressed that ‘minimum standards’
legislation on AML/CTF could pose risks to effective supervision,
seamless exchange of information and coordination. In this regard,
Parliament called on the Commission to assess whether a regulation
would be a more appropriate legal act than a directive.

The Commission is also called on to:

- further assess the possibility of establishing a
‘grey list’ of potentially high-risk third countries on a
basis analogous to the Union’s approach in listing
non-cooperative jurisdictions for tax purposes;

- ensure a transparent process with clear and concrete
benchmarks for countries which commit to undergo reforms in order
to avoid being listed;

- publish its initial and final assessments of the
listed countries, as well as the benchmarks applied, so as to
ensure public scrutiny in such a way that they cannot be
misused.","The European Parliament passed a resolution, with 530 votes in favor and 14 against, to address the implementation of anti-money laundering legislation. The resolution aims to improve enforcement due to concerns about insufficient implementation by several Member States."
2019/2819(RSP),https://oeil.europarl.europa.eu/oeil/en/document-summary?id=1592277,"The European Parliament adopted by 535 votes to 66,
with 52 abstentions, a resolution on the importance of European
remembrance for the future of Europe.

The resolution was tabled by the EPP, S&D, Renew,
Greens/EFA and ECR groups.

This year marks the 80th anniversary of the outbreak
of the Second World War, which led to unprecedented levels of human
suffering and the occupation of countries in Europe for many
decades to come.

The resolution stressed that the Second World War, the
most devastating war in Europe’s history, was started as an
immediate result of the notorious Nazi-Soviet Treaty on
Non-Aggression of 23 August 1939, also known as the
Molotov-Ribbentrop Pact, and its secret protocols, whereby two
totalitarian regimes that shared the goal of world conquest divided
Europe into two zones of influence.

In its resolution, Parliament condemned all
manifestations and propagation of totalitarian ideologies, such as
Nazism and Stalinism, in the EU as well as historical revisionism
and the glorification of Nazi collaborators in some EU Member
States. It expressed deep concern about the increasing acceptance
of radical ideologies and the reversion to fascism, racism,
xenophobia and other forms of intolerance in the European
Union.

Parliament called on the Member States to:

- make a clear and principled assessment of the crimes
and acts of aggression perpetrated by the totalitarian communist
regimes and the Nazi regime;

- commemorate 23 August as the European Day of
Remembrance for the victims of totalitarian regimes at both EU and
national level;

- raise the younger generation’s awareness of
these issues by including the history and analysis of the
consequences of totalitarian regimes in the curricula and textbooks
of all schools in the EU;

- condemn and counteract all forms of Holocaust
denial, including the trivialisation and minimisation of the crimes
perpetrated by the Nazis and their collaborators, and to prevent
trivialisation in political and media discourse.

Overall, the EU called for:

- a common culture of remembrance that rejects the
crimes of fascist, Stalinist, and other totalitarian and
authoritarian regimes of the past as a way of fostering resilience
against modern threats to democracy, particularly among the younger
generation;

- the 25 May (the anniversary of the execution of the
Auschwitz hero Rotamaster Witold Pilecki) to be established as
International Day of Heroes of the Fight against
Totalitarianism;

- the allocation of adequate financial resources under
the ‘Europe for Citizens’ programme to support
commemoration and remembrance of the victims of totalitarianism, as
set out in Parliament’s position on the 2021-2027 Rights and
Values Programme.

Lastly, Parliament maintained that Russia remains the
greatest victim of communist totalitarianism and that its
development into a democratic state will be impeded as long as the
government, the political elite and political propaganda continue
to whitewash communist crimes and glorify the Soviet totalitarian
regime. It is therefore called on to come to terms with its tragic
past.","The European Parliament passed a resolution, with 535 votes in favor and 66 against, emphasizing the significance of European remembrance for the future of Europe. The resolution condemns totalitarian ideologies like Nazism and Stalinism, historical revisionism, and glorification of Nazi collaborators within the EU. It also expresses concern about the rise of radical ideologies and fascism in the Union."
2019/2021(BUD),https://oeil.europarl.europa.eu/oeil/en/document-summary?id=1592164,"The European Parliament adopted by 601 votes to 40,
with 12 abstentions, a resolution approving the Council's position
on draft amending budget No 1/2019 of the European Union for the
financial year 2019: Entering the surplus of the financial year
2018.

Parliament took note of Draft amending budget (DAB) No
1/2019 as presented by the Commission, which is devoted solely to
the budgeting of the 2018 surplus, for an amount of EUR 1 803
million. The main components of this surplus are:

- a positive revenue execution of EUR 1 274.6 million
and

- an under-execution of expenditure of EUR 527.8
million.

On the revenue side, the largest difference stems from
default interest and fines (EUR 1 312.6 million), the outturn being
composed of competition fines and default interest, other penalty
payments and interest linked to fines and penalty
payments.

On the expenditure side, under-implementation in
payments by the Commission reaches EUR 322.2 million for 2018 (of
which 120 million from the Emergency Aid Reserve) and EUR 68
million for 2017 carryovers, and under-implementation by the other
institutions EUR 75.9 million for 2018 and EUR 61.6 for 2017
carryovers.

Recalling that, according to the Commission, the
competition fines in 2018 accounted for EUR 1 149 million, Members
reiterated their view that, besides any surplus resulting from
under-execution, the EU budget should be allowed to reuse any
revenue from fines or late payments without reducing GNI
contributions by a corresponding amount.

Parliament recalled its position in favour of
increasing the proposed Union reserve in the next Multiannual
Financial Framework by an amount equivalent to the revenue
resulting from fines and penalties.","The European Parliament approved a resolution to allocate the 2018 EU budget surplus of €1.8 billion, primarily due to competition fines and interest on penalties. The vote was passed with 601 votes in favor, 40 against, and 12 abstentions."
2019/2817(RSP),https://oeil.europarl.europa.eu/oeil/en/document-summary?id=1592174,"The European Parliament adopted by 544 votes to 126,
with 38 abstentions, a resolution on the state of play of the
UK’s withdrawal from the European Union.

The resolution was tabled by the EPP, S&D, Renew,
Greens/EFA and GUE/NGL groups.

Following a decision of the 10 April 2019 European
Council Special Summit to accept UK’s request to prolong the
Article 50 deadline, the UK is set to leave the EU by 31 October
2019.

According to the Parliament, ‘Brexit’ is an
unprecedented and regrettable event whose negative consequences
would be mitigated by an orderly withdrawal of the United Kingdom
(UK) from the European Union (EU).

The Withdrawal Agreement and Political
Declaration

Parliament continues to believe that the Withdrawal
Agreement, as the means to allow for such an orderly exit of the UK
from the EU, is fair and balanced, while fully respecting both the
UK’s ‘red lines’ and the EU’s principles. It
notes that the value of the Withdrawal Agreement is that it
provides legal certainty to all those affected by the withdrawal of
the UK from the EU and that, to the fullest extent possible,
it:

- safeguards the rights and life choices of EU
citizens resident in the UK and British citizens resident in the
EU-27;

- includes the backstop for the border between Ireland
and Northern Ireland;

- provides for a single financial settlement with the
UK which includes all legal liabilities arising from outstanding
commitments and makes provision for off-balance sheet items,
contingent liabilities and other financial costs arising directly
as a result of the UK’s withdrawal;

- includes, as requested by the UK and with a view to
ensuring legal certainty and continuity as well as time to
negotiate the future EU-UK relationship, a transition period until
31 December 2020 which may be extended once by up to two
years.

Protection of citizens

Overall, the resolution stressed that the EU and the
UK, as a departing Member State, have an overriding obligation to
ensure a comprehensive and reciprocal approach to protecting the
rights of EU citizens living in the UK and of British citizens
living in the EU-27.

The UK and the EU-27 are urged to adopt measures that
provide legal certainty for EU citizens resident in the UK and
British citizens resident in the EU-27. It recalled its position
that the EU-27 should pursue a consistent and generous approach in
protecting the rights of British citizens resident in those Member
States.

Backstop mechanism

The UK’s withdrawal from the EU must not in any
way endanger the peace process in Northern Ireland nor harm the
economy of the island of Ireland. The Withdrawal Agreement provides
this backstop mechanism to safeguard the status quo in Ireland by
protecting the Good Friday Agreement and ensuring North-South
cooperation.

In the resolution, Members confirmed that they would
be ready to revert to the EU’s original proposal for a
Northern Ireland-only backstop. They are also open to examining
alternative arrangements if they are legally and operationally
credible and in line with EU guiding principles. Parliament
stressed, however, that it shall not consent to a Withdrawal
Agreement without a backstop.

No deal

Members stressed that should the UK withdraw from the
EU without an agreement this would be entirely the responsibility
of the UK Government. In the case of a ‘no-deal exit’,
the UK’s financial and other obligations will still exist.
Parliament affirmed that in such a case it will refuse to give
consent to any agreement or agreements between the EU and the UK
unless and until the UK honours its commitments.

Further extension of Article 50

Parliament indicated that it would support an
extension of the period provided for in Article 50 if there are
reasons and a purpose for such an extension (such as to avoid a
‘no-deal exit’, to hold a general election or a
referendum, to revoke Article 50, or to approve a withdrawal
agreement) and that the work and functioning of the EU institutions
are not adversely affected.","The European Parliament passed a resolution (544 votes to 126) regarding the UK's withdrawal from the EU, setting an exit date of October 31, 2019. The resolution emphasizes the need for an orderly Brexit to mitigate negative consequences. The Parliament continues to support the Withdrawal Agreement as fair and balanced, ensuring rights for EU citizens in the UK and vice versa, including the Irish border backstop."
2019/2823(RSP),https://oeil.europarl.europa.eu/oeil/en/document-summary?id=1592265,"The European Parliament adopted by 608 votes to 7,
with 46 abstentions, a resolution on Iran, notably the situation of
women’s rights defenders and imprisoned EU dual
nationals.

The resolution was tabled by the EPP, S&D, Renew,
Greens/EFA and ECR groups.

In recent months Iranian revolutionary courts have
substantially increased the clampdown on peaceful acts of
resistance by women’s rights defenders protesting against the
compulsory wearing of the hijab, including the length of prison
sentences. According to the UN, at least 32 people have been
arrested and at least 10 imprisoned since 2018 for protesting
against the mandatory wearing of the hijab.

Iranian activists Mojgan Keshavarz, Monireh Arabshahi
and Yasaman Aryani were arbitrarily detained in April 2019 after
publishing an online video in which they appear without their
headscarves, peacefully protesting against Iran’s compulsory
veiling laws while handing out flowers on the Tehran metro on 8
March 2019, International Women’s Day. Sahar Khodayari, an
Iranian woman detained for attempting to watch a football match at
a stadium, burned herself to death in protest after learning that
she would face a six-month prison sentence for her
actions.

In August 2019, Mojgan Keshavarz, Yasaman Aryani,
Morineh Arabshahi and Saba Kord-Afshari were handed sentences
ranging from 16 to 24 years’ imprisonment. They were denied
access to lawyers during the initial investigation stage and their
legal representatives were reportedly prohibited from representing
them at their trial. Their sentences are directly related to their
peaceful exercise of the rights of freedom of expression and
assembly in defence of gender equality in Iran.

Moreover, at least six EU-Iranian dual nationals,
Nazanin Zaghari-Ratcliffe, Ahmadreza Djalali, Kamal Ahmady, Kamran
Ghaderi, Massud Mossaheb and Morad Tahbaz, are currently imprisoned
in Iran.

Parliament condemns in the strongest terms the ongoing
repression of women for objecting to compulsory veiling and for
exercising their rights to freedom of expression, association and
peaceful assembly.

The Iranian Government and authorities are urged
to:

- respect the freedom of Iranian women to choose their
own dress code;

- annul all these sentences and immediately and
unconditionally release Mojgan Keshavarz, Yasaman Aryani, Monireh
Arabshahi, Saba Kord-Afshari and Atena Daemi as women’s rights
defenders protesting against the compulsory hijab;

- release of Nasrin Sotoudeh, Narges Mohammadi,
Sepideh Gholian, Sanaz Allahyari, Asal Mohammadi, Marzieh Amiri and
Atefeh Rangriz, and of all the human rights defenders imprisoned
and sentenced for simply exercising their rights to freedom of
expression, association and peaceful assembly;

- revise the legal provisions which discriminate
against women, in particular those relating to their personal
status;

- ensure that women are allowed access to all
stadiums, without discrimination or risk of persecution.

- introduce an immediate moratorium as a fundamental
step towards the abolition of the death penalty;

Parliament also deeply regretted the lack of progress
made in the cases regarding EU-Iranian dual nationals detained in
Iran. It demanded the immediate and unconditional release of all
EU-Iranian dual nationals who are currently detained in Iranian
prisons, unless they are retried in accordance with international
standards.

Members urged the Iranian authorities to cooperate
without further ado with EU Member State embassies in Tehran in
order to enable the establishment of a comprehensive list of
EU-Iranian dual nationals currently being detained in Iranian
prisons, and to closely monitor each individual case, given that
citizens’ security and protection of their fundamental rights
are of the highest importance for the EU.","The European Parliament passed a resolution, by 608 votes to 7 with 46 abstentions, condemning Iran's crackdown on women's rights defenders, particularly those protesting against compulsory hijab. The resolution addressed cases of detained EU dual nationals and activists like Mojgan Keshavarz, Yasaman Aryani, and Sahar Khodayari."
2019/2730(RSP),https://oeil.europarl.europa.eu/oeil/en/document-summary?id=1586823,"The European Parliament adopted by 455 votes to
85, with 105 abstentions, the resolution on the situation in
Venezuela.

The text adopted in plenary had been tabled as
a joint resolution by the EPP, S&D, Renew, Greens/EFA and ECR
groups.

Between 2018 and 2019 the political, economic,
institutional, social and multidimensional humanitarian crisis has
significantly worsened with increased shortages of medicines and
food, massive human rights violations, hyperinflation, political
oppression, corruption and violence are endangering people’s
lives and forcing them to flee the country.

It is estimated that more than 7 million people
in Venezuela are in need of humanitarian assistance. The de facto
Maduro government has violated the right to food, including the
state’s obligation to ensure that the population is free from
hunger.

Parliament reiterated its deep concern at the
severe state of emergency in Venezuela, which is seriously
endangering the lives of its citizens. It also reiterated its full
support for legitimate interim President Juan Guaidó and for
the National Assembly, which is Venezuela’s legitimate
democratic body and whose powers need to be restored and respected,
including the prerogatives and safety of its members. It condemned
the revocation of the parliamentary immunity of 22 parliamentarians
and the incarceration of two. It expressed its concern over the
lack of legitimacy of the May 2018 presidential
elections.

The resolution called for:

Parliament drew attention to the increasingly
serious migration crisis across the entire region and praises the
efforts of and solidarity shown by neighbouring countries,
especially Colombia, Ecuador and Peru. It requested that the
Commission continue to cooperate with these countries, not only by
providing humanitarian assistance but also by providing more
resources and through development policy.

Lastly, it reaffirmed that a peaceful,
democratic and inclusive solution is the only sustainable way out
of the current political impasse.","The European Parliament passed a joint resolution, with 455 votes in favor and 85 against, urging action on Venezuela's worsening political, economic, and humanitarian crisis. The resolution condemns violations of human rights, corruption, and the lack of legitimacy in the 2018 elections, supports interim President Juan Guaidó, and calls for restoring the National Assembly's powers."
2019/2036(BUD),https://oeil.europarl.europa.eu/oeil/en/document-summary?id=1592172,"The European Parliament adopted by 580 votes to 61,
with 67 abstentions, a resolution approving the proposal for a
decision of the European Parliament and of the Council on the
mobilisation of the European Globalisation Adjustment Fund (EGF) to
provide EUR 610 000 in commitment and payment appropriations for
technical assistance under the general budget of the European Union
for the financial year 2019.

As a reminder, the European Globalisation Adjustment
Fund (EGF) aims to provide support for workers made redundant and
self-employed persons whose activities have ceased as a result of
major structural changes in world trade patterns due to
globalisation, as a result of a continuation of the global
financial and economic crisis, or as a result of a new global
financial and economic crisis, and to assist them with their
reintegration into the labour market.

The proposed amount of EUR 610 000 corresponds to
approximately 0.35% of the maximum amount of the annual budget
available for the EGF in 2019.

In its resolution, Parliament reiterated the
importance of monitoring and data gathering and of a website
dedicated to the EGF and accessible to all citizens of the Union.
It welcomed the continued work on the establishment standardised
procedures for EGF applications and management with a view to
simplifying the processing of applications for assistance and
improving reporting.

Members noted the Commission's intention to invest EUR
190 000 of the available budget under the administrative and
technical support in holding two meetings of the Expert Group of
Contact Persons of the EGF (one member from each Member State) and
two seminars with the participation of the implementing bodies of
the EGF and social partners.

The Commission was called on to continue to
systematically invite Parliament to those meetings and seminars in
accordance with the relevant provisions of the Framework Agreement
on relations between Parliament and the Commission.

Parliament underlined the need to further enhance the
liaising between all those involved in EGF applications, including,
in particular, the social partners and stakeholders at regional and
local level, to create as many synergies as possible.

It welcomed a timely start of the ex-post evaluation
for which the Commission intends to invest EUR 300 000 of the
available budget.

Lastly, it reminded applicant Member States of their
key role in widely publicising the actions funded by EGF to the
targeted beneficiaries.","The European Parliament approved a resolution to allocate €610,000 from the EU budget for globalization adjustment fund support, aimed at helping workers affected by trade changes. The parliament emphasized the need for monitoring, data gathering, and simplified application processes."
2019/0806(CNS),https://oeil.europarl.europa.eu/oeil/en/document-summary?id=1591734,"The European Parliament adopted by 588 votes to 59,
with 29 abstentions, a legislative resolution on the draft Council
implementing decision on the launch of automated exchange of
vehicle registration data in Ireland.

Parliament approved the Council's draft authorising
Ireland to receive and supply personal data in accordance with
Decision 2008/615/JHA for the purpose of automatic consultation of
vehicle registration data.","The European Parliament approved a resolution, passing by a large margin, to enable automated exchange of vehicle registration data in Ireland, authorizing the sharing of personal data as per Decision 2008/615/JHA."
