sheet_id,question_en,question_fr,file_name,survey_date
admc19,"Administration of COVID-19 questions: CAPI RANDOMISATION: automated random allocation to Group 1 or Group 2, each comprising approximately half of the sample. K3 should be programmed automatically in the CAPI script and NOT displayed/asked in the interview.RECORD OUTCOME OF CAPI RANDOMISATION",,ESS10e03_3,2020-06-01
admrclc,"Administration of reduce climate change: RECORD OUTCOME OF CAPI RANDOMISATION IF NOT CODE 55 AT C30 (IF C30 = 01, 02, 03, 04, 05, 77, 88)RECORD OUTCOME OF CAPI RANDOMISATION",,ESS11e04_1,2023-06-01
allbpe,"Allow unskilled labourers from [poor European country providing largest number of migrants]: ASK IF D29 = 3 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow unskilled labourers from [poor European country providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
allbpne,"Allow unskilled labourers from [poor non-European country providing largest number of migrants]: ASK IF D29 = 4 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow unskilled labourers from [poor country outside Europe providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
alpfpe,"Allow professionals from [poor European country providing largest number of migrants]: ASK IF D29 = 1 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow professionals from [poor European country providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
alpfpne,"Allow professionals from [poor non-European country providing largest number of migrants]: ASK IF D29 = 2 STILL CARD 42Using the same card, please tell me to what extent you think [country] should allow professionals from [poor country outside Europe providing largest number of migrants] to come to live in [country]?",,ESS7e02_3,2014-06-01
banhhap,Favour ban sale of least energy efficient household appliances to reduce climate change: ASK ALL CARD 44To what extent are you in favour or against the following policies in [country] to reduce climate change? A law banning the sale of the least energy efficient household appliances.READ OUT EACH STATEMENT AND CODE IN GRID,,ESS8e02_3,2016-06-01
bghtprd,"Bought product for political/ethical/environment reason last 12 months: ASK ALLThere are different ways of trying to improve things in [country] or help prevent things from going wrong. During the last 12 months, have you done any of the following? Firstly ...Deliberately bought certain products for political, ethical or environmental reasonsREAD OUT",,ESS1e06_7,2002-06-01
btminfr,"Bottom 10% full-time employees in country, earning less than [amount], how fair: STILL CARD 65And now please think about the bottom 10% of employees working full-time in [country], earning less than [amount per month or per year]. In your opinion, are these incomes unfairly low, fair, or unfairly high? Please think generally about people earning this level of incomes.INTERVEIWER: If the respondent needs additional instructions on how to use the scale, please say: If you think these incomes are unfairly low, please choose a number from the left-hand side. If you think these incomes are fair, please choose 0. If you think these incomes are unfairly high, please choose a number from the right-hand side.",,ESS9e03_3,2018-06-01
c19spwrk,"Speak with people you work with in person, how often compared with before COVID-19: ASK IF RESPONDENT DID NOT REPORT HAVING NO LINE MANAGER AT G44 AND NO COLLEAGUES AT G53 (IF G44 = 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 77, 88 OR IF G53 = 01, 02, 03, 04, 05, 06, 07, 77, 88) 
For the next few questions, please think about all the people you work with, regardless of whether they are your line manager or your colleagues.Now think about occasions where you and {him/her} are physically in the same location. Compared with before the coronavirus pandemic, would you say that you speak with {him/her} in person...READ OUT...",,ESS10e03_3,2020-06-01
ccgdbd,"Climate change good or bad impact across world: CARD 42How good or bad do you think the impact of climate change will be on people across the world? Please choose a number from 0 to 10, where 0 is extremely bad and 10 is extremely good.",,ESS8e02_3,2016-06-01
ccrdprs,"To what extent feel personal responsibility to reduce climate change: CARD 30
ASK IF NOT CODE 55 AT C30 (IF C30 = 01, 02, 03, 04, 05, 77, 88)To what extent do you feel a personal responsibility to try to reduce climate change?",,ESS11e04_1,2023-06-01
chpldmc,"In country government changes policies in response to what most people think: ASK IF GOVERNMENT SHOULD CHANGE ITS PLANNED POLICIES, IT DEPENDS, REFUSAL OR DON'T KNOW AT D25 (IF D25 = 1, 5, 7, 8)
CARD 39Using this card, please tell me how often you think the government in [country] today changes its planned policies in response to what most people think?",,ESS10e03_3,2020-06-01
clmchng,Do you think world's climate is changing: CARD 37You may have heard the idea that the world's climate is changing due to increases in temperature over the past 100 years. What is your personal opinion on this? Do you think the world's climate is changing?Choose your answer from this card.,,ESS8e02_3,2016-06-01
clmthgt1,How much thought about climate change before today: ASK IF DEFINITELY NOT CHANGING AT D19 (code 4) CARD 38How much have you thought about climate change before today?,,ESS8e02_3,2016-06-01
clmthgt2,How much thought about climate change before today: CARD 38How much have you thought about climate change before today?,,ESS8e02_3,2016-06-01
cltommb,"Cultural /hobby activity organisation, last 12 months: member: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...an organisation for cultural or hobby activities? MemberREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01
cnsoptp,"Consumer/automobile organisation, last 12 months: participated: CARD 43For each of the voluntary organisations I will now mention, please use this card to tell me whether any of these things apply to you now or in the last 12 months, and, if so, which. ...a consumer or automobile organisation? ParticipatedREAD OUT EACH ORGANISATION IN TURN. PROBE:'Which others?' CODE ALL THAT APPLY FOR EACH ORGANISATION",,ESS1e06_7,2002-06-01
cptppol,"Confident in own ability to participate in politics: CARD 8And using this card, how confident are you in your own ability to participate in politics?",,ESS7e02_3,2014-06-01
cptppola,Confident in own ability to participate in politics: CARD 8And how confident are you in your own ability to participate in politics?,,ESS11e04_1,2023-06-01
ctstogv,"The courts able to stop the government acting beyond its authority: STILL CARD 37And still thinking generally rather than about [country], how important do you think it is for democracy in general... ...that the courts are able to stop the government acting beyond its authority?READ OUT...",,ESS6e02_7,2012-06-01
ctzchtx,"Citizens should not cheat on taxes: CARD 32Using this card, how much do you agree or disagree with each of these statements? Citizens should not cheat on their taxes.",,ESS2e03_6,2004-06-01
