question_id,question_clean,question_original,survey_file,survey_date,vote_id,vote_summary_original,vote_date,days_between,similarity_score,source,vote_summary_clean
icvacc19,Is a COVID-19 vaccine approved by the national regulatory authority and available to the public in Slovenia?,"COVID-19 vaccine approved by national regulatory authority and available to the public in country: INTERVIEWER: IS A CORONAVIRUS VACCINE APPROVED BY THE NATIONAL REGULATORY
AUTHORITY AND AVAILABLE TO THE PUBLIC IN SLOVENIA?",ESS10e03_3,2020-06-01,136905,"The European Parliament adopted by 458 votes to 149, with 86 abstentions, a resolution on EU transparency in the development, purchase and distribution of COVID-19 vaccines.
The resolution underlined that the handling of the COVID-19 pandemic is a trust test for all Member States and EU institutions that will inform the response to possible future public health emergencies. Full transparency regarding all details of research into and the development, purchase and distribution of COVID-19 vaccine",2021-10-21,507,0.6715986728668213,ESS,"The European Parliament passed a resolution, 458-149, urging full transparency in EU COVID-19 vaccine development, purchase, and distribution to boost citizens' trust. This is seen as crucial for future public health emergencies."
pltavie,How important is it for democracy that politicians consider the views of other European governments before making decisions?,Politicians take into account the views of other European governments: STILL CARD 37And how important do you think it is for democracy in general... ...that politicians take into account the views of other European governments before making decisions?READ OUT...,ESS6e02_7,2012-06-01,183397,"The European Parliament adopted by 392 votes to 179, with 83 abstentions, a resolution on the implementation of the common foreign and security policy - annual report 2025.
In an increasingly unstable international environment, Members asserted that, to remain influential on the international stage, the EU needs to pursue a determined, disciplined, and firm foreign policy that serves its own strategic objectives and continue to defend its interests worldwide. The EU's external action should be g",2026-01-21,4982,0.6285956501960754,ESS,"The European Parliament approved a resolution on the implementation of the common foreign and security policy for 2025, emphasizing the need for a decisive, disciplined, and firm EU foreign policy in an unstable global environment. The policy should uphold EU values such as democracy, rule of law, and human rights to maintain influence and protect interests worldwide."
getnvc19,"If a vaccine against COVID-19 is approved and available to the public in Slovenia, would you get vaccinated?","Whether respondent would get vaccinated against COVID-19 if vaccine is approved by the national regulatory authority in country: ASK IF VACCINE APPROVED AND AVAILABLE TO THE PUBLIC (IF K20CHECK = 2)If a vaccine against coronavirus is approved by the national regulatory authority in Slovenia, would you get vaccinated?",ESS10e03_3,2020-06-01,136905,"The European Parliament adopted by 458 votes to 149, with 86 abstentions, a resolution on EU transparency in the development, purchase and distribution of COVID-19 vaccines.
The resolution underlined that the handling of the COVID-19 pandemic is a trust test for all Member States and EU institutions that will inform the response to possible future public health emergencies. Full transparency regarding all details of research into and the development, purchase and distribution of COVID-19 vaccine",2021-10-21,507,0.6215450763702393,ESS,"The European Parliament passed a resolution, 458-149, urging full transparency in EU COVID-19 vaccine development, purchase, and distribution to boost citizens' trust. This is seen as crucial for future public health emergencies."
ownrdcc,How likely does limiting personal energy use help in reducing climate change?,"How likely, limiting own energy use reduce climate change: STILL CARD 43How likely do you think it is that limiting your own energy use would help reduce climate change?",ESS8e02_3,2016-06-01,147705,"Share of renewable energy to be raised to 45% by 2030
Energy savings targets increased to 40% of final energy consumption, and 42.5% of primary energy consumption
Revision of two laws will help fight climate change and boost energy security",2022-09-14,2296,0.6215081810951233,ESS,"The European Parliament voted to increase the share of renewable energy to 45% by 2030 and set higher energy savings targets (40% for final consumption, 42.5% for primary consumption), aiming to combat climate change and enhance energy security."
pltavie,How important is it for democracy that politicians consider the views of other European governments before making decisions?,Politicians take into account the views of other European governments: STILL CARD 37And how important do you think it is for democracy in general... ...that politicians take into account the views of other European governments before making decisions?READ OUT...,ESS6e02_7,2012-06-01,163057,"The European Parliament adopted by 409 votes to 165, with 35 abstentions, a resolution on European historical consciousness.
Members considered Europe’s complex, conflict-ridden and contested past poses both a challenge and an opportunity for European integration. They considered a responsible, evidence-based and critical approach to history, focusing on common European values , to be a sine qua non for any democratic body, in order to sensitise current and future generations for achievements an",2024-01-17,4247,0.6149283647537231,ESS,"The European Parliament passed a resolution on European historical consciousness, emphasizing the importance of a responsible, evidence-based approach to history in fostering understanding and reconciliation."
sbsrnen,Do you support using public funds to subsidize renewable energy (like wind and solar) to help reduce climate change in [country]?,Favour subsidise renewable energy to reduce climate change: ASK ALL CARD 44To what extent are you in favour or against the following policies in [country] to reduce climate change? Using public money to subsidise renewable energy such as wind and solar power.READ OUT EACH STATEMENT AND CODE IN GRID,ESS8e02_3,2016-06-01,147705,"Share of renewable energy to be raised to 45% by 2030
Energy savings targets increased to 40% of final energy consumption, and 42.5% of primary energy consumption
Revision of two laws will help fight climate change and boost energy security",2022-09-14,2296,0.606042206287384,ESS,"The European Parliament voted to increase the share of renewable energy to 45% by 2030 and set higher energy savings targets (40% for final consumption, 42.5% for primary consumption), aiming to combat climate change and enhance energy security."
pltavie,How important is it for democracy that politicians consider the views of other European governments before making decisions?,Politicians take into account the views of other European governments: STILL CARD 37And how important do you think it is for democracy in general... ...that politicians take into account the views of other European governments before making decisions?READ OUT...,ESS6e02_7,2012-06-01,118191,"The European Parliament adopted by 521 votes to 152, with 21 abstentions, a resolution on the establishment of an EU Mechanism on Democracy, the Rule of Law and Fundamental Rights.
Members recalled that the last decade has been marked by blatant attacks on the Union's values. The rights of vulnerable groups, such as women, people with disabilities, Roma, LGBTI people and the elderly, as well as minority rights are still not fully respected in some Member States.
In the face of an unprecedented a",2020-10-07,3050,0.6031979322433472,ESS,"The European Parliament passed a resolution to establish an EU Mechanism on Democracy, Rule of Law, and Fundamental Rights, expressing concern over attacks on Union values and ongoing discrimination against vulnerable groups in some Member States."
gvimpc19,"How much do you trust your national government to handle the effects of COVID-19 in [country]? (0 = no trust, 10 = complete trust)","To what extent trust the government to deal with the impact of COVID-19 in country: CARD 96Using this card, please tell me to what extent you trust the national government in [country] to deal with the impact of the coronavirus pandemic. Please answer on a score of 0-10 where 0 means you do not trust the government at all and 10 means you have complete trust.",ESS10e03_3,2020-06-01,136905,"The European Parliament adopted by 458 votes to 149, with 86 abstentions, a resolution on EU transparency in the development, purchase and distribution of COVID-19 vaccines.
The resolution underlined that the handling of the COVID-19 pandemic is a trust test for all Member States and EU institutions that will inform the response to possible future public health emergencies. Full transparency regarding all details of research into and the development, purchase and distribution of COVID-19 vaccine",2021-10-21,507,0.5868249535560608,ESS,"The European Parliament passed a resolution, 458-149, urging full transparency in EU COVID-19 vaccine development, purchase, and distribution to boost citizens' trust. This is seen as crucial for future public health emergencies."
keydec,Is it more important for key decisions to be made by national governments or the European Union for the sake of democracy in general?,"Key decisions are made by national governments rather than the European Union: STILL CARD 35And still thinking generally rather than about [country], how important do you think it is for democracy in general... ...that key decisions are made by national governments rather than the European Union?READ OUT...",ESS10e03_3,2020-06-01,183397,"The European Parliament adopted by 392 votes to 179, with 83 abstentions, a resolution on the implementation of the common foreign and security policy - annual report 2025.
In an increasingly unstable international environment, Members asserted that, to remain influential on the international stage, the EU needs to pursue a determined, disciplined, and firm foreign policy that serves its own strategic objectives and continue to defend its interests worldwide. The EU's external action should be g",2026-01-21,2060,0.5829013586044312,ESS,"The European Parliament approved a resolution on the implementation of the common foreign and security policy for 2025, emphasizing the need for a decisive, disciplined, and firm EU foreign policy in an unstable global environment. The policy should uphold EU values such as democracy, rule of law, and human rights to maintain influence and protect interests worldwide."
testic36,How likely is it that governments in enough countries will take action to reduce climate change?,"How likely, governments in enough countries take action to reduce climate change: STILL CARD 32And how likely do you think it is that governments  in enough countries will take action that reduces climate change?",ESS10e03_3,2020-06-01,126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce clim",2020-12-17,199,0.5825252532958984,ESS,"The European Parliament passed a resolution, with 550 votes in favor and 80 against, focusing on enhancing the EU's strategy for adapting to climate change. The strategy aims to address the estimated EUR 426 billion in damages from extreme weather events over 1980-2017, with costs expected to remain high despite Paris Agreement implementation. An ambitious global mitigation policy is sought to reduce climate change impacts significantly. The resolution emphasizes a stronger focus and greater attention to adaptation within the European Green Deal."
