question_en,question_type,question_type_explanation
DX1_1 How important are the following aspects when making a decision on what products (goods or services) to buy? The impact on the environment of the product | Base: All,opinion_forward,"The question asks for citizens' opinion about the importance of the environment when buying products, which can be considered a forward-looking opinion about what they SHOULD consider."
DX1_2 How important are the following aspects when making a decision on what products (goods or services) to buy? The price of the product | Base: All,not_forward,"This question asks for citizens' opinion about a factor influencing their purchasing decisions, not a policy preference that the EU should act on."
DX1_3 How important are the following aspects when making a decision on what products (goods or services) to buy? The quality of the product | Base: All,not_forward,"It asks for the importance of aspects when buying products, not expressing a forward-looking opinion about what the EU should do."
DX1_4 How important are the following aspects when making a decision on what products (goods or services) to buy? The brand of the product | Base: All,not_forward,"It asks for the importance of a factor in buying decisions, not expressing what the EU should do."
DX2_1 To what extent do you agree or disagree with the following statements? Buying products with a lower environmental impact makes a difference for the environment | Base: All,opinion_forward,"The question asks for citizens' opinion about what they think makes a difference for the environment, which is forward-looking."
DX2_2 To what extent do you agree or disagree with the following statements? I have bought products specifically because of their lower environmental impact | Base: All,opinion_forward,"The question asks for citizens' opinion about their behavior, which can be interpreted as a forward-looking opinion on the importance of buying products with lower environmental impact."
Q1 Please take a close look at the logo shown below. Have you seen this logo before? | Base: All,not_forward,"This question asks for factual awareness about the logo, not a forward-looking opinion about what the EU should do."
Q2_1 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is awarded to products with a lower environmental impact than similar products on the market | Base: All,not_forward,It is a factual/awareness question about the EU Ecolabel.
Q2_2 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is an independently verified  label that companies can decide to display on their products to show they are environmentally friendly | Base: All,not_forward,It is a factual/awareness question about the EU Ecolabel.
Q2_3 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is awarded to organic food and beverage products | Base: All,not_forward,It is a factual/awareness question about the EU Ecolabel.
Q2_4 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is the European Union label for environmental excellence | Base: All,not_forward,It is a factual/awareness question about the EU Ecolabel.
"Q2_5 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? To get the EU Ecolabel, products have to comply to strict environmental criteria | Base: All",not_forward,It is a factual/awareness question about the EU Ecolabel.
Q3_1 How often do you… Buy products with environmental labels | Base: All,not_forward,"It asks for the frequency of buying products with environmental labels, not expressing a forward-looking opinion about what the EU should do."
Q3_2 How often do you… Buy products with the EU Ecolabel | Base: All,not_forward,It is a factual/awareness question about the EU Ecolabel.
Q4a Which of the following products have you bought in the past 12 months? Select all  that apply. [MULTIPLE ANSWERS] | Base: All,not_forward,"This question asks for respondents' past behavior, not their forward-looking opinion about what the EU should do."
