sheet_id,question_en,question_fr,file_name,question_clean
DX1_1,DX1_1 How important are the following aspects when making a decision on what products (goods or services) to buy? The impact on the environment of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,How important is the environmental impact of a product when deciding what goods or services to purchase? (All respondents)
DX1_3,DX1_3 How important are the following aspects when making a decision on what products (goods or services) to buy? The quality of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,How important is the quality of a product when deciding what goods or services to purchase? (All respondents)
DX2_1,DX2_1 To what extent do you agree or disagree with the following statements? Buying products with a lower environmental impact makes a difference for the environment | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,Does buying products with a lower environmental impact make a difference for the environment? (All respondents)
Q2_1,Q2_1 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is awarded to products with a lower environmental impact than similar products on the market | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,"Is the statement ""The EU Ecolabel is awarded to products with a lower environmental impact than similar products on the market"" true or false? (Regarding the EU Ecolabel logo)"
Q2_2,Q2_2 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is an independently verified  label that companies can decide to display on their products to show they are environmentally friendly | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,"Is the statement ""The EU Ecolabel is an independently verified label that companies can choose to display on their products to show they are environmentally friendly"" true or false? (About the EU Ecolabel)"
Q2_3,Q2_3 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is awarded to organic food and beverage products | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,Is the EU Ecolabel awarded to organic food and beverages true or false? (Regarding the logo shown)
Q2_4,Q2_4 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is the European Union label for environmental excellence | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,"Is the statement ""The EU Ecolabel is the European Union label for environmental excellence"" true or false? (Regarding the EU Ecolabel)"
Q2_5,"Q2_5 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? To get the EU Ecolabel, products have to comply to strict environmental criteria | Base: All",,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,Is it true that products must comply with strict environmental criteria to receive the EU Ecolabel?
Q4b,"Q4b Of the following products bought in the past 12 months, did you buy any with the EU Ecolabel? Select all that apply. [MULTIPLE ANSWERS] | Base: IF Q4a<11",,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,Did you purchase any products with the EU Ecolabel within the last 12 months? (Select all that apply)
Q3,Q3 What impact have the undertaken resource efficiency actions had on the production costs over the past two years? The production costs have… | Base: IF CODE 1 TO 9 IN Q1,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx,"Have the resource efficiency actions affected production costs over the past two years, and if so, how?"
Q5,Q5 Which type of support does your company rely on in its efforts to be more resource efficient? | Base: IF CODE 1 TO 9 IN Q1,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx,What type of support does your company use for being more resource-efficient? (If code 1 to 9 from Q1)
Q6,"Q6 More precisely, which type of external support is it? | Base: IF Q5=3",,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx,"What type of external support are you referring to, specifically? (Assuming Q5=3)"
Q7,Q7 Did your company encounter any of the following difficulties when trying to set up resource efficiency actions? | Base: IF CODE 1 TO 9 IN Q1,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx,Did your company face any difficulties while setting up resource efficiency actions? (Specify if Code 1-9 applies)
Q14,Q14 Does your company have a concrete strategy in place to reduce your carbon footprint and become climate neutral or negative? | Base: All,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx,Does your company have a specific strategy to lower its carbon emissions and aim for climate neutrality or negativity? (All respondents)
Q15,Q15 What actions is your company undertaking to be become climate neutral? | Base: IF Q14=1,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx,What actions is your company taking towards becoming climate neutral? (If Q14 equals 1)
Q9,Q9 Does your company offer green products or services? | Base: All,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx,Does your company provide any green products or services? (for all respondents)
Q11,Q11 For how long has your company been selling green products or services? | Base: IF Q9=1,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx,How long has your company been offering green products or services? (Assuming you answered 'Yes' to Q9)
Q13,Q13 What type of support does your company rely on for the production of its green products or services? | Base: IF Q9=1,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx,What kind of support does your company use for producing its green products/services? (Applies only if Q9 is 1)
Q2a_1,Q2a_1 Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): Interference or pressure from government and politicians | Base: If Fairly bad or Very bad at Q1,,Lien_vers_fl_519_volume_B.xlsx,How much does interference or pressure from government and politicians contribute to your perception of the independence of the justice system in THIS COUNTRY?
Q2a_2,Q2a_2 Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): Interference or pressure from economic or other specific interests | Base: If Fairly bad or Very bad at Q1,,Lien_vers_fl_519_volume_B.xlsx,How much does interference or pressure from economic or other specific interests contribute to your rating of the independence of the justice system in THIS COUNTRY?
Q2a_1f,Q2a_1f Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): Interference or pressure from government and politicians | Base: All,,Lien_vers_fl_519_volume_B.xlsx,How much does interference or pressure from government and politicians contribute to your rating of the independence of the justice system in THIS COUNTRY?
Q2a_2f,Q2a_2f Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): Interference or pressure from economic or other specific interests | Base: All,,Lien_vers_fl_519_volume_B.xlsx,How much does interference or pressure from economic or other specific interests contribute to your rating of the independence of the justice system in THIS COUNTRY?
Q2b_1,Q2b_1 Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): No interference or pressure from government and politicians | Base: If Very good or Fairly good at Q1,,Lien_vers_fl_519_volume_B.xlsx,How much does the absence of government and political interference contribute to your rating of the independence of the justice system in THIS COUNTRY?
Q2b_2,Q2b_2 Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY):No interference or pressure from economic or other specific interests | Base: If Very good or Fairly good at Q1,,Lien_vers_fl_519_volume_B.xlsx,How much does each of the following factors contribute to your rating of this country's justice system independence: No interference or pressure from economic or other specific interests?
Q2b_1f,Q2b_1f Could you tell me to what extent each of the following reasons explains your rating of the independence of the justice system in (THIS COUNTRY): No interference or pressure from government and politicians | Base: All,,Lien_vers_fl_519_volume_B.xlsx,How much does the absence of government and political interference contribute to your rating of this country's justice system independence?
