vote_id,summary,summary_clean
108532,"Full support “for legitimate interim president Juan Guaidó”
Nicolás Maduro should be held directly responsible for indiscriminate use of violence
Restrict movements, freeze the assets of those responsible for the crisis","Parliament approved support for interim president Juan Guaidó and held President Nicolás Maduro accountable for violent actions, imposing travel bans and asset freezes on those involved in the crisis."
108568,"Youth and research Parliament’s top priorities
Parliament approved paying back a €1.8 billion budgetary surplus from 2018 to member states","The European Parliament voted to redistribute a €1.8 billion budget surplus from 2018 towards youth and research programs, approving funds for these top priorities."
108660,"MEPs pledge to reject any Withdrawal Agreement without a backstop
UK will be solely responsible for a “no deal” departure
Another conditional Article 50 deadline extension is possible, if the UK requests it","MEPs voted to reject any Withdrawal Agreement without a backstop. The UK may face a ""no deal"" departure if no agreement is reached. A further Article 50 extension is potentially possible, if requested by the UK."
108749,"The European Parliament adopted by 530 votes to 14, with 104 abstentions, a resolution on the state of implementation of the Union’s anti-money laundering legislation.
The resolution was tabled by the EPP, S&D, Renew and Greens/EFA groups.
According to Europol, as much as 0.7-1.28 % of the Union’s annual GDP is ‘detected as being involved in suspect financial activity’ such as money laundering connected to corruption, arms trafficking, human trafficking, drug dealing, tax evasion and fraud, terrorist financing or other illicit activities which affect EU citizens in their daily lives.
The Union’s framework for anti-money laundering and countering terrorist financing (AML/CTF) has been progressively strengthened by the adoption of 4AMLD in May…","The European Parliament passed a resolution, with 530 votes in favor and 14 against, to enhance anti-money laundering legislation, addressing activities like corruption, arms trafficking, and tax evasion. The resolution was proposed by multiple groups, aiming to combat up to 1.28% of the Union's annual GDP involved in suspicious financial activities."
108763,"The European Parliament adopted by 608 votes to 7, with 46 abstentions, a resolution on Iran, notably the situation of women’s rights defenders and imprisoned EU dual nationals.
The resolution was tabled by the EPP, S&D, Renew, Greens/EFA and ECR groups.
In recent months Iranian revolutionary courts have substantially increased the clampdown on peaceful acts of resistance by women’s rights defenders protesting against the compulsory wearing of the hijab, including the length of prison sentences. According to the UN, at least 32 people have been arrested and at least 10 imprisoned since 2018 for protesting against the mandatory wearing of the hijab.
Iranian activists Mojgan Keshavarz, Monireh Arabshahi and Yasaman Aryani were arbitrarily…","The European Parliament passed a resolution, with 608 votes in favor and 7 against, addressing Iran's treatment of women's rights defenders and EU dual nationals. The resolution condemns the increased clampdown on women protesting against the compulsory wearing of the hijab, with at least 10 imprisonments since 2018."
108774,"The European Parliament adopted by 535 votes to 66, with 52 abstentions, a resolution on the importance of European remembrance for the future of Europe.
The resolution was tabled by the EPP, S&D, Renew, Greens/EFA and ECR groups.
This year marks the 80th anniversary of the outbreak of the Second World War, which led to unprecedented levels of human suffering and the occupation of countries in Europe for many decades to come.
The resolution stressed that the Second World War, the most devastating war in Europe’s history, was started as an immediate result of the notorious Nazi-Soviet Treaty on Non-Aggression of 23 August 1939, also known as the Molotov-Ribbentrop Pact, and its secret protocols, whereby two totalitarian regimes that shared the…","The European Parliament passed a resolution, by 535 votes to 66, emphasizing the significance of European remembrance for the future of Europe, marking the 80th anniversary of World War II. The resolution condemned the Nazi-Soviet Treaty of 1939, known as the Molotov-Ribbentrop Pact, as the catalyst for the devastating war."
108806,"The European Parliament adopted by 538 votes to 113, with 9 abstentions, a resolution on the Council position on draft amending budget No 4/2019 of the European Union for the financial year 2019: Reduction of commitment and payment appropriations in line with updated needs of expenditure and update of revenue (own resources).
On the expenditure side, draft amending budget No 4/2019 has two objectives:
- to decrease commitment and payment appropriations of budget lines by EUR 112 million and EUR 67.5 million respectively, in heading 1a ""Competitiveness for growth and jobs”, heading 1b “Economic, Social and Territorial Cohesion”, and heading 2 ""Sustainable growth – natural resources"";…","The European Parliament approved a resolution to adjust the EU's 2019 budget, reducing expenditure by €112 million and €67.5 million in competitiveness, cohesion, and sustainable growth sectors."
108807,"The European Parliament rejected by 53 votes to 526, with 82 abstentions, the proposal for a decision of the European Parliament and of the Council amending Decision (EU) 2019/276 as regards adjustments to the amounts mobilised from the Flexibility Instrument for 2019 to be used for migration, refugee inflows and security threats.
The resolution recalled that on 12 December 2018, the European Parliament and the Council decided to mobilise the flexibility instrument for the financial year 2019 for an amount of EUR 1 164 million:
- EUR 179 million for heading 1a (Competitiveness for Growth and Jobs) to reinforce key competitiveness programmes (namely Horizon 2020 and Erasmus+);…","The European Parliament rejected a proposal to adjust funds from the Flexibility Instrument for migration, refugee inflows, and security threats, with 53 votes against, 526 in favor, and 82 abstentions. The initial decision to mobilize EUR 1.164 billion from the instrument was made in December 2018."
108830,"Need for legislation to prevent hybrid threats
998 disinformation cases attributed to Russia this year
cases of foreign interference by funding political parties","Parliament voted to approve legislation aimed at countering hybrid threats, particularly disinformation cases linked to Russia (998 this year) and foreign interference in political parties."
108838,"Inequalities between EU countries, regions and population groups still persist
Social and economic goals need to be on an equal footing
Call for EU minimum wage and better protection of digital platform workers","The European Parliament voted to advocate for an EU minimum wage and improved protections for digital platform workers, aiming to address persistent inequalities across countries, regions, and population groups."
