question_index,question_text,file_name,vote_id,vote_summary,similarity_score,question_id,match_id
QB7_2,"QB7.2. The European Year of Skills is taking place between May 2023 and May 2024. It aims to raise awareness about the need for people to get the right skills for quality jobs and thereby also aims to support companies in addressing skill shortages in Europe. For each of the following statements, tell me if it applies to you? :-You are currently engaging in training to improve your skills",Lien_vers_SP546_volume_B.xlsx,153918,"The European Parliament adopted by 524 votes to 33, with 24 abstentions, a legislative resolution on the proposal for a decision of the European Parliament and of the Council on a European Year of Skills 2023.
The European Parliament's position adopted at first reading under the ordinary legislative procedure amends the Commission's proposal as follows:
As proposed by Members, the period from 9 May 2023 to 8 May 2024 will be declared the ‘European Year of Skills’ .
The overall objective of the European Year of Skills is to continue to foster a mindset of retraining and reskilling, in line with national competences, law and practice.
The European Year of Skills aims to:
- boost the competitiveness of Union undertakings, in particular small and…",0.789826512336731,c7209612e9d1e671931f058d3d9714f6e1a6dbb500007efeba5ef9cd3b8f4a47,c7209612e9d1e671931f058d3d9714f6e1a6dbb500007efeba5ef9cd3b8f4a47_153918
QB7_1,"QB7.1. The European Year of Skills is taking place between May 2023 and May 2024. It aims to raise awareness about the need for people to get the right skills for quality jobs and thereby also aims to support companies in addressing skill shortages in Europe. For each of the following statements, tell me if it applies to you? :-You are currently actively looking for information concerning training to improve your skills?",Lien_vers_SP546_volume_B.xlsx,153918,"The European Parliament adopted by 524 votes to 33, with 24 abstentions, a legislative resolution on the proposal for a decision of the European Parliament and of the Council on a European Year of Skills 2023.
The European Parliament's position adopted at first reading under the ordinary legislative procedure amends the Commission's proposal as follows:
As proposed by Members, the period from 9 May 2023 to 8 May 2024 will be declared the ‘European Year of Skills’ .
The overall objective of the European Year of Skills is to continue to foster a mindset of retraining and reskilling, in line with national competences, law and practice.
The European Year of Skills aims to:
- boost the competitiveness of Union undertakings, in particular small and…",0.777720034122467,9a8c3116fca640d4137062b7ee04c15ed0c5d317131f764d53b1c1e06b34bccc,9a8c3116fca640d4137062b7ee04c15ed0c5d317131f764d53b1c1e06b34bccc_153918
Q7_1,"Q7_1 For each of the following initiatives, please tell me how effective or not you think they will be in helping to tackle the challenges facing the EU. The EU’s plan aiming to tackle climate change and transform the EU into a competitive, green, climate neutral economy by 2050., i.e. the European Green Deal",Lien_vers_fl_539_volume_B.xlsx,126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce climate change and its consequences.
The resolution called for a improved focus and increased attention to adaptation in its new strategy. The strategy should be an integral part of the European Green Deal and an opportunity for the EU to take the global…",0.7463128566741943,88ee49a98ce9f53b72422403dc7a03caaef5eba22e02ae02cc7c51587a7dad99,88ee49a98ce9f53b72422403dc7a03caaef5eba22e02ae02cc7c51587a7dad99_126261
Q1_1,"Q1_1 Imagine a major crisis affecting [YOUR COUNTRY] and surrounding countries. How effective or not do you think the EU’s response would be in each of the following situations? Managing health emergencies (e.g. COVID-19 pandemic, epidemics)",Lien_vers_fl_546_volume_B.xlsx,157227,"Evaluation of the effectiveness of EU and national measures
Recommendations to improve EU crisis management and preparedness for future health emergencies
Increase parliamentary oversight of measures, coordination, solidarity",0.7445025444030762,d2accdea2b4bd0cdbb69b1e4c9ed790c9bb93906e8538e07ec179c9633e17ed6,d2accdea2b4bd0cdbb69b1e4c9ed790c9bb93906e8538e07ec179c9633e17ed6_157227
Q3_6,"Q3_6 To what extent do you agree or disagree with the following statements about the current demographic trends in the EU, such as population ageing and a shrinking workforce? The current demographic trend…affect my prospects and future possibilities",Lien_vers_l’évolution_démographique_en_europe_fl534_volume_B.xlsx,134947,"The European Parliament adopted by 479 votes to 103, with 113 abstentions, a resolution on an old continent growing older – possibilities and challenges related to ageing policy post-2020.
The natural change in the EU population has been negative since 2012, with more deaths than births in the EU, 4.7 million and 4.2 million respectively in 2019. The fertility rate in the EU has been declining, falling to 1.55 in 2018. The working-age population (15-64 years) is projected to decline significantly from 333 million in 2016 to 292 million in 2070. People aged 80 or over are expected to represent 14.6% of the population in 2100.
The current demographic situation has serious repercussions for the EU's social, economic and territorial cohesion…",0.7422317266464233,ed80aa48038c9511f548758d2f8d60aea83a149538e7fcea36485abe2be15e20,ed80aa48038c9511f548758d2f8d60aea83a149538e7fcea36485abe2be15e20_134947
Q4_4,"Q4_4 In fact, all citizens of the EU Member States are “citizens of the European Union” since 1993. Do you know if, as an EU citizen, you have the following rights? The right to participate in a Citizen’s Initiative, a request signed by at least one million EU citizens inviting the European Commission to propose a new policy measure | Base: All",Lien_vers_fl_528_volume_B.xlsx,163001,"The European Parliament adopted by 437 votes to 158, with 41 abstentions, a resolution on the implementation of Treaty provisions on EU citizenship.
Members believe that EU citizenship comprises the shared and common European democratic identity and the specific rights, civic duties and freedoms attached to it, and that the exercise of those rights, both online and offline, strengthens citizens' link with the EU and its democratic legitimacy, as well as offering them additional rights.
The potential of EU citizenship has not yet been fully exploited . Members noted that all too often, EU citizens are not sufficiently aware of, and do not fully understand, the rights, civic duties and freedoms deriving from their citizenship of the Union…",0.7417352199554443,63b61622e6da6ed34bd67302a761be8e29f447a2b861c847021040e1ecbd3dcd,63b61622e6da6ed34bd67302a761be8e29f447a2b861c847021040e1ecbd3dcd_163001
Q4_4,"Q4_4 In fact, all citizens of the EU Member States are “citizens of the European Union” since 1993. Do you know if, as an EU citizen, you have the following rights? The right to participate in a Citizen’s Initiative, a request signed by at least one million EU citizens inviting the European Commission to propose a new policy measure | Base: All",Lien_vers_fl_528_volume_B.xlsx,140892,"The European Parliament adopted by 357 votes to 119, with 207 abstentions, a resolution on the EU citizenship report 2020: empowering citizens and protecting their rights.
While welcoming the Commission's continued commitment to respecting the rights of EU citizens and its renewed focus on respect for the rule of law in the Member States, Members stressed the need for a comprehensive assessment of EU citizens' rights and for well-defined and concrete commitments, actions and legislative initiatives for the next three years.
The final objective of reporting on EU citizenship would be to take concrete initiatives aiming to consolidate citizen-specific rights and freedoms under an EU statute of citizenship, similar to the European Pillar of…",0.7394352555274963,63b61622e6da6ed34bd67302a761be8e29f447a2b861c847021040e1ecbd3dcd,63b61622e6da6ed34bd67302a761be8e29f447a2b861c847021040e1ecbd3dcd_140892
Q3_4,"Q3_4 To what extent do you agree or disagree with the following statements about the current demographic trends in the EU, such as population ageing and a shrinking workforce? The current demographic trend…undermine the long-term sustainability of public finances in the EU",Lien_vers_l’évolution_démographique_en_europe_fl534_volume_B.xlsx,134947,"The European Parliament adopted by 479 votes to 103, with 113 abstentions, a resolution on an old continent growing older – possibilities and challenges related to ageing policy post-2020.
The natural change in the EU population has been negative since 2012, with more deaths than births in the EU, 4.7 million and 4.2 million respectively in 2019. The fertility rate in the EU has been declining, falling to 1.55 in 2018. The working-age population (15-64 years) is projected to decline significantly from 333 million in 2016 to 292 million in 2070. People aged 80 or over are expected to represent 14.6% of the population in 2100.
The current demographic situation has serious repercussions for the EU's social, economic and territorial cohesion…",0.7355191707611084,cd41706800e196ee3db2575b3ae3a6bce9b4c7f856c3fcf4934acd0b2b860340,cd41706800e196ee3db2575b3ae3a6bce9b4c7f856c3fcf4934acd0b2b860340_134947
Q3_5,"Q3_5 To what extent do you agree or disagree with the following statements about the current demographic trends in the EU, such as population ageing and a shrinking workforce? The current demographic trend…intensify differences between and within EU Member States",Lien_vers_l’évolution_démographique_en_europe_fl534_volume_B.xlsx,134947,"The European Parliament adopted by 479 votes to 103, with 113 abstentions, a resolution on an old continent growing older – possibilities and challenges related to ageing policy post-2020.
The natural change in the EU population has been negative since 2012, with more deaths than births in the EU, 4.7 million and 4.2 million respectively in 2019. The fertility rate in the EU has been declining, falling to 1.55 in 2018. The working-age population (15-64 years) is projected to decline significantly from 333 million in 2016 to 292 million in 2070. People aged 80 or over are expected to represent 14.6% of the population in 2100.
The current demographic situation has serious repercussions for the EU's social, economic and territorial cohesion…",0.7349498271942139,8c1b12d2ecbc2aa447f8c11bcc965bbcbb7fb0f7e5e5ccd4d65c7360e144ec06,8c1b12d2ecbc2aa447f8c11bcc965bbcbb7fb0f7e5e5ccd4d65c7360e144ec06_134947
Q10_3,Q10_3 The following statements are about interference by foreign countries in the politics and democracy of the European Union and its Member States. To what extent do you agree or disagree with each of the statements? Entities representing foreign governments on EU territory should be registered to prevent covert interference in our democratic systems | Base: All,Lien_vers_fl_528_volume_B.xlsx,171271,"The European Parliament adopted by 441 votes to 178, with 34 abstentions, a decision on setting up a special committee on the European Democracy Shield, and defining its responsibilities, numerical strength and term of office.
Member recalled that foreign interference constitutes a serious violation of the universal values and principles on which the Union is founded, such as human dignity, freedom, equality, solidarity, respect for human rights and fundamental freedoms, democracy and the rule of law. Evidence shows that malicious and authoritarian foreign state actors and malicious non-state actors are using information manipulation and other tactics to interfere in democratic processes in the Union…",0.7323765158653259,5919082a5bcef1fb618f30255a9f363f34e36815a1eb6ac1007035873f5c873a,5919082a5bcef1fb618f30255a9f363f34e36815a1eb6ac1007035873f5c873a_171271
