question_en,file_name,vote_id,summary,similarity_score,match_id,pair_valid,pair_explanation,question_type,question_type_explanation,vote_type,vote_type_explanation,survey_date,vote_date,survey_before_vote
QA11. And what should the European Union now prioritise in its response to the coronavirus pandemic? (MAX. 3 ANSWERS) ,,116295,"The European Parliament adopted by 526 votes to 105, with 50 abstentions, a resolution on the EU’s public health strategy post-COVID-19.
The text adopted in plenary was tabled as a joint resolution by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
COVID-19 has highlighted the fact that the European Union does not have strong enough tools to deal with a health emergency such as the spread of a novel infectious disease, which by its nature knows no borders. The outbreak exposed the difference in capacity between the Member States’ healthcare systems, and demonstrated that, in circumstances where an unexpected health threat emerges, some Member States may become reliant on their neighbouring countries having sufficiently resilient systems…",0.7060576677322388,aef51df8ffdfad54a83dde6943c4e0c5cc5d0fb0dd505ce2ba29604db09362c9,False,"The survey question asks for multiple priorities in the EU's response to the coronavirus pandemic, while the vote is about adopting a resolution on the EU’s public health strategy post-COVID-19. The specific actions or measures addressed in the vote are not directly mapped to the citizen's agreement/disagreement with the survey question.",opinion_forward,"The question asks for citizens' opinion about what the EU should prioritize in its response to the coronavirus pandemic, which is a forward-looking opinion.",substantive,"The vote is on a public health strategy post-COVID-19, which is a real policy decision citizens would care about.",,2020-07-10 17:11:00,False
"QA12. Thinking about EU’s response to the coronavirus pandemic, to what extent do you trust or not the EU to make the right decisions in the future?   ",,127028,"The European Parliament adopted by 340 votes to 100, 245 abstentions, a resolution on the implementation of the Common Foreign and Security Policy – annual report 2020.
Parliament stressed that the COVID-19 pandemic is a wake-up call for the need for a stronger, more autonomous, more united and assertive foreign and security policy. If the EU wants to play a leading role on the international scene, it should defend and develop a rules based international order which guarantees multilateralism, democracy and human rights, and to promote its values and interests more decisively worldwide. To achieve this, the EU first has to successfully assist its partners in the immediate neighbourhood…",0.7027344703674316,428508111f6ff36b1ff1eea0a06f33328a637f8878f77f59cb877c810da1f9b2,False,"The survey question is about trust in the EU's response to the coronavirus pandemic, while the vote is about the implementation of the Common Foreign and Security Policy – annual report 2020. There is no direct mapping between a citizen's answer to the survey question and the yes/no position on this vote.",opinion_forward,The question asks for citizens' forward-looking opinion about what the EU should do in future regarding the coronavirus pandemic,substantive,"The vote is on a substantive policy action as it concerns the implementation of the Common Foreign and Security Policy, which has concrete policy measures related to the EU's foreign relations.",,2021-01-20 15:34:00,False
"QB8. In your opinion, which of the following objectives should be given top priority in the European Green Deal, the EU’s plan to protect the environment and fight climate change? (MAX. 4 ANSWERS)",,135106,"The European Parliament adopted by 518 votes to 130, with 47 abstentions, amendments to the proposal for a decision of the European Parliament and of the Council on a General Union Environment Action Programme to 2030 (8th Environment Action Programme).
The matter was referred back to the competent committee for inter-institutional negotiations.
The main amendments adopted in plenary are as follows
As the EU's overall action programme for the environment, the 8th EAP should build on the European Green Deal , in line with the long-term objective ‘live well, within the planetary boundaries’ by 2050. It should also be consistent with the UN 2030 Agenda and its Sustainable Development Goals (SDGs) and enable a systemic shift towards a sustainable…",0.694514811038971,acb03dccd6791228afff3f7f6562866866effed35dba486d28616e65d6dc9e16,False,"The survey question asks for priorities within the European Green Deal, while the vote is about adopting an amendment to the proposal for a decision of the European Parliament and of the Council on a General Union Environment Action Programme to 2030 (8th Environment Action Programme), which is broader than specific priorities within the European Green Deal.",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD prioritize in the European Green Deal.,substantive,"The vote concerns the adoption of an environmental action program for 2030, which is a real policy decision citizens would care about.",,,False
"QB8. In your opinion, which of the following objectives should be given top priority in the European Green Deal, the EU’s plan to protect the environment and fight climate change? (MAX. 4 ANSWERS)",,126261,"The European Parliament adopted by 550 votes to 80, with 59 abstentions, a resolution on the EU strategy on adaptation to climate change.
According to estimates by the European Environment Agency (EEA), extreme weather and climate events accounted for EUR 426 billion in monetary terms in the EU-28 over the period 1980-2017. Damage costs from climate change are expected to be high, even if the Paris Agreement is implemented. Only an ambitious global mitigation policy can significantly reduce climate change and its consequences.
The resolution called for a improved focus and increased attention to adaptation in its new strategy. The strategy should be an integral part of the European Green Deal and an opportunity for the EU to take the global…",0.6919285655021667,7103ce4ed05afff7d2050301ed97fa6d147cb09d6ace00d634bf00aea34078cb,False,"The survey question asks about priorities in the European Green Deal, while the vote is about a resolution on the EU strategy on adaptation to climate change, which is a specific aspect of the European Green Deal but not the same specific topic.",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD prioritize in the European Green Deal.,substantive,"The vote is on a resolution related to the EU strategy on adaptation to climate change, which is a substantive policy action.",,2020-12-17 15:44:00,False
QA31 And what should the European Union now prioritise in its response to the Coronavirus pandemic? MAX. 3 ANSWERS,,116295,"The European Parliament adopted by 526 votes to 105, with 50 abstentions, a resolution on the EU’s public health strategy post-COVID-19.
The text adopted in plenary was tabled as a joint resolution by the EPP, S&D, Renew, Greens/EFA and GUE/NGL groups.
COVID-19 has highlighted the fact that the European Union does not have strong enough tools to deal with a health emergency such as the spread of a novel infectious disease, which by its nature knows no borders. The outbreak exposed the difference in capacity between the Member States’ healthcare systems, and demonstrated that, in circumstances where an unexpected health threat emerges, some Member States may become reliant on their neighbouring countries having sufficiently resilient systems…",0.6865035891532898,810f78531d22c20696307c74866423b4c77881487e892e650ebbb304cfee33fe,False,"The survey asks for multiple priorities in the EU's response to the Coronavirus pandemic, while the vote is about a specific public health strategy post-COVID-19. The survey question does not map directly to a yes/no position on this vote.",opinion_forward,"The question asks for citizens' opinion about what the EU should prioritize in its response to the Coronavirus pandemic, which is a forward-looking opinion.",substantive,"The vote is on a public health strategy post-COVID-19, which is a real policy decision citizens would care about.",,2020-07-10 17:11:00,False
"QA33 The Coronavirus pandemic fundamentally disrupted tourism and the travel industry in 2020. The pandemic, combined with the effects of climate change and the digitalization of economy, may lead to long lasting impacts on travelling and tourism in the future. When it comes to your future travel choices, do you plan to do any of the following? You can select up to three answers. MAX. 3 ANSWERS",,129470,"Pandemic has taken a heavy toll on EU tourism
Safe, clean and sustainable tourism is a must
Europe should strive to remain a leading destination",0.6858248710632324,649ebf7500cb46d4753ab2302a026ffa2796c08f4f5e81929b107297ee6c9595,False,"The survey asks about future travel choices of individuals, while the vote is a broad statement about EU tourism. There's no direct mapping between an individual's response and a yes/no position on this vote.",opinion_forward,"The question asks for citizens' forward-looking opinion about their future travel choices in relation to the EU, which could potentially influence tourism and travel industry policies.",substantive,Discusses a policy decision related to EU tourism,,2021-03-25 18:27:00,False
"QA12. Thinking about EU’s response to the coronavirus pandemic, to what extent do you trust or not the EU to make the right decisions in the future?   ",,125484,"The European Parliament adopted by 593 votes to 50, with 50 abstentions, a resolution on the EU Trade Policy Review.
Following the COVID-19 outbreak in 2020 global supply chains and production lines have been disrupted, bringing to the fore the fact that the EU is dependent on non-EU sources, especially for some strategic sectors such as the medical and the pharmaceutical sectors. According to the resolution, the EU was already lagging behind other economies in terms of competitiveness before the pandemic. The disruption to international trade resulting from the COVID-19 pandemic has now exacerbated already significant economic losses.
The EU’s trade policy review is taking place at a time when globally many politically-steered actions are…",0.685450553894043,4365894d306805f828a9cb8c58022023029457a33c1570efea68cc34a08c9e8d,False,"The survey question is about trust in the EU's response to the coronavirus pandemic, while the vote is about the EU Trade Policy Review which does not directly relate to the pandemic.",opinion_forward,The question asks for citizens' forward-looking opinion about what the EU should do in future regarding the coronavirus pandemic,substantive,The vote is on a substantive policy action related to the EU Trade Policy Review and its impact on the competitiveness of the EU in strategic sectors.,,,False
"QA12. Thinking about EU’s response to the coronavirus pandemic, to what extent do you trust or not the EU to make the right decisions in the future?   ",,115400,"COVID-19 has brought the EU’s institutional shortcomings to the surface
Council needs to adopt a sensible position in the immediate future and commit to Conference-driven reforms",0.6736621856689453,e0d1db1d35f2f978a8c6ee700e1de3f12ec2519180375c547a4199466c08faf9,False,"The survey question asks about trust in the EU's future decisions regarding the coronavirus pandemic, while the vote summary discusses institutional shortcomings and reforms, not a specific action or decision on the pandemic itself.",opinion_forward,The question asks for citizens' forward-looking opinion about what the EU should do in future regarding the coronavirus pandemic,substantive,"Discusses institutional shortcomings and reforms related to COVID-19, which are substantive policy matters.",,2020-06-18 12:56:00,False
"Q13 What are your thoughts about the most recent EU financial support for EU Member States to overcome the COVID-19 crisis? Do you think it was good or not good to provide a recovery plan of 650 billion euros supporting  all Member States, through grants and loans,  on conditions that they make green, digital and social investments and reforms? | Base: All",,129467,"The European Parliament adopted by 462 votes to 80, with 145 abstentions, a resolution on the general guidelines for the preparation of the 2022 budget, Section III - Commission.
Parliament wants to set up a recovery budget in 2022 after the COVID-19 crisis that will allow the EU to boost investment and tackle unemployment, foster the digital and green transition, focus on a strong European Health Union, promote an inclusive recovery, focusing in particular on the younger generation, and ensure a safe and prosperous environment for EU citizens.
Concerned by the severe and long-lasting consequences of the crisis on SMEs, Members intend to secure sufficient funding for them through various EU programmes. They called…",0.6701259016990662,1faf4f61668199603300446cae5413de464cc73336dc8fbc79fbb924d909db55,True,The survey asks about the EU financial support for Member States to overcome the COVID-19 crisis and the vote directly acts on that same specific topic.,opinion_forward,"The question asks for citizens' opinion about what the EU should do in the future, specifically regarding a recovery plan for COVID-19 crisis.",substantive,The vote is on a substantive policy action related to the preparation of the 2022 EU budget and recovery measures after the COVID-19 crisis,,2021-03-25 18:27:00,False
"QB5. The European Union has designed a recovery plan of 800 billion euros, NextGenerationEU, to support the economy through grants and loans. How effective or not do you think that this measure can be to respond to the current economic challenges?",,129467,"The European Parliament adopted by 462 votes to 80, with 145 abstentions, a resolution on the general guidelines for the preparation of the 2022 budget, Section III - Commission.
Parliament wants to set up a recovery budget in 2022 after the COVID-19 crisis that will allow the EU to boost investment and tackle unemployment, foster the digital and green transition, focus on a strong European Health Union, promote an inclusive recovery, focusing in particular on the younger generation, and ensure a safe and prosperous environment for EU citizens.
Concerned by the severe and long-lasting consequences of the crisis on SMEs, Members intend to secure sufficient funding for them through various EU programmes. They called…",0.6665610074996948,76b6d2afd30cb48d82637876d3b8d58ed14ce6d6ab7fd33c99a52d3fcd0bfdd2,False,"The survey question asks about the effectiveness of a specific recovery plan, while the vote is about the general guidelines for the preparation of the 2022 budget, which includes but does not directly match the specific recovery plan mentioned in the survey.",opinion_forward,The question asks for citizens' opinion about what the EU SHOULD do (policy preference that parliament could act on),substantive,The vote is on a substantive policy action related to the preparation of the 2022 EU budget and recovery measures after the COVID-19 crisis,,2021-03-25 18:27:00,False
